+--------------------------------------------+-----+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Registry name                              |  ID | Effects                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| potioncore:launch                          | 169 | PotionEffect:{Potion:[reg:potioncore:launch,name:effect.launch,isBad:true,isBeneficial:false],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                      |
| potioncore:levitation                      |  85 | PotionEffect:{Potion:[reg:minecraft:levitation,name:effect.levitation,isBad:true,isBeneficial:false],amplifier:0,duration:600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                             |
| potioncore:lightning                       | 159 | PotionEffect:{Potion:[reg:potioncore:lightning,name:effect.lightning,isBad:true,isBeneficial:false],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                |
| potioncore:long_absorption                 |  90 | PotionEffect:{Potion:[reg:minecraft:absorption,name:effect.absorption,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                            |
| potioncore:long_antidote                   | 190 | PotionEffect:{Potion:[reg:potioncore:antidote,name:effect.antidote,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                               |
| potioncore:long_archery                    | 197 | PotionEffect:{Potion:[reg:potioncore:archery,name:effect.archery,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                 |
| potioncore:long_blindness                  |  82 | PotionEffect:{Potion:[reg:minecraft:blindness,name:effect.blindness,isBad:true,isBeneficial:false],amplifier:0,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                              |
| potioncore:long_broken_armor               | 182 | PotionEffect:{Potion:[reg:potioncore:broken_armor,name:effect.broken_armor,isBad:true,isBeneficial:false],amplifier:0,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                       |
| potioncore:long_climb                      | 144 | PotionEffect:{Potion:[reg:potioncore:climb,name:effect.climb,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                     |
| potioncore:long_diamond_skin               | 128 | PotionEffect:{Potion:[reg:potioncore:diamond_skin,name:effect.diamond_skin,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                       |
| potioncore:long_drown                      | 140 | PotionEffect:{Potion:[reg:potioncore:drown,name:effect.drown,isBad:true,isBeneficial:false],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                     |
| potioncore:long_extension                  | 114 | PotionEffect:{Potion:[reg:potioncore:extension,name:effect.extension,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                             |
| potioncore:long_flight                     | 111 | PotionEffect:{Potion:[reg:potioncore:flight,name:effect.flight,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                   |
| potioncore:long_glowing                    |  92 | PotionEffect:{Potion:[reg:minecraft:glowing,name:effect.glowing,isBad:false,isBeneficial:false],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                 |
| potioncore:long_haste                      |  95 | PotionEffect:{Potion:[reg:minecraft:haste,name:effect.digSpeed,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                   |
| potioncore:long_health_boost               | 101 | PotionEffect:{Potion:[reg:minecraft:health_boost,name:effect.healthBoost,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                         |
| potioncore:long_hunger                     |  79 | PotionEffect:{Potion:[reg:minecraft:hunger,name:effect.hunger,isBad:true,isBeneficial:false],amplifier:0,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                    |
| potioncore:long_iron_skin                  | 120 | PotionEffect:{Potion:[reg:potioncore:iron_skin,name:effect.iron_skin,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                             |
| potioncore:long_klutz                      | 177 | PotionEffect:{Potion:[reg:potioncore:klutz,name:effect.klutz,isBad:true,isBeneficial:false],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                     |
| potioncore:long_levitation                 |  87 | PotionEffect:{Potion:[reg:minecraft:levitation,name:effect.levitation,isBad:true,isBeneficial:false],amplifier:0,duration:1200,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                            |
| potioncore:long_magic_focus                | 134 | PotionEffect:{Potion:[reg:potioncore:magic_focus,name:effect.magic_focus,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                         |
| potioncore:long_magic_inhibition           | 162 | PotionEffect:{Potion:[reg:potioncore:magic_inhibition,name:effect.magic_inhibition,isBad:true,isBeneficial:false],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                               |
| potioncore:long_magic_shield               | 185 | PotionEffect:{Potion:[reg:potioncore:magic_shield,name:effect.magic_shield,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                       |
| potioncore:long_mining_fatigue             |  98 | PotionEffect:{Potion:[reg:minecraft:mining_fatigue,name:effect.digSlowDown,isBad:true,isBeneficial:false],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                       |
| potioncore:long_nausea                     |  84 | PotionEffect:{Potion:[reg:minecraft:nausea,name:effect.confusion,isBad:true,isBeneficial:false],amplifier:0,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                 |
| potioncore:long_perplexity                 | 146 | PotionEffect:{Potion:[reg:potioncore:perplexity,name:effect.perplexity,isBad:true,isBeneficial:false],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                           |
| potioncore:long_purity                     | 122 | PotionEffect:{Potion:[reg:potioncore:purity,name:effect.purity,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                   |
| potioncore:long_reach                      | 125 | PotionEffect:{Potion:[reg:potioncore:reach,name:effect.reach,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                     |
| potioncore:long_recoil                     | 117 | PotionEffect:{Potion:[reg:potioncore:recoil,name:effect.recoil,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                   |
| potioncore:long_repair                     | 109 | PotionEffect:{Potion:[reg:potioncore:repair,name:effect.repair,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                   |
| potioncore:long_resistance                 | 104 | PotionEffect:{Potion:[reg:minecraft:resistance,name:effect.resistance,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                            |
| potioncore:long_revival                    | 174 | PotionEffect:{Potion:[reg:potioncore:revival,name:effect.revival,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                 |
| potioncore:long_rust                       | 149 | PotionEffect:{Potion:[reg:potioncore:rust,name:effect.rust,isBad:true,isBeneficial:false],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                       |
| potioncore:long_slow_fall                  | 188 | PotionEffect:{Potion:[reg:potioncore:slow_fall,name:effect.slow_fall,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                             |
| potioncore:long_solid_core                 | 156 | PotionEffect:{Potion:[reg:potioncore:solid_core,name:effect.solid_core,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                           |
| potioncore:long_step_up                    | 138 | PotionEffect:{Potion:[reg:potioncore:step_up,name:effect.step_up,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                 |
| potioncore:long_vulnerable                 | 152 | PotionEffect:{Potion:[reg:potioncore:vulnerable,name:effect.vulnerable,isBad:true,isBeneficial:false],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                           |
| potioncore:long_weight                     | 168 | PotionEffect:{Potion:[reg:potioncore:weight,name:effect.weight,isBad:true,isBeneficial:false],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                   |
| potioncore:long_wither                     |  76 | PotionEffect:{Potion:[reg:minecraft:wither,name:effect.wither,isBad:true,isBeneficial:false],amplifier:0,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                    |
| potioncore:love                            | 106 | PotionEffect:{Potion:[reg:potioncore:love,name:effect.love,isBad:false,isBeneficial:true],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                          |
| potioncore:magic_focus                     | 132 | PotionEffect:{Potion:[reg:potioncore:magic_focus,name:effect.magic_focus,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                         |
| potioncore:magic_inhibition                | 160 | PotionEffect:{Potion:[reg:potioncore:magic_inhibition,name:effect.magic_inhibition,isBad:true,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                               |
| potioncore:magic_shield                    | 183 | PotionEffect:{Potion:[reg:potioncore:magic_shield,name:effect.magic_shield,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                       |
| potioncore:mining_fatigue                  |  96 | PotionEffect:{Potion:[reg:minecraft:mining_fatigue,name:effect.digSlowDown,isBad:true,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                       |
| potioncore:nausea                          |  83 | PotionEffect:{Potion:[reg:minecraft:nausea,name:effect.confusion,isBad:true,isBeneficial:false],amplifier:0,duration:900,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                  |
| potioncore:perplexity                      | 145 | PotionEffect:{Potion:[reg:potioncore:perplexity,name:effect.perplexity,isBad:true,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                           |
| potioncore:purity                          | 121 | PotionEffect:{Potion:[reg:potioncore:purity,name:effect.purity,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                   |
| potioncore:reach                           | 123 | PotionEffect:{Potion:[reg:potioncore:reach,name:effect.reach,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                     |
| potioncore:recoil                          | 115 | PotionEffect:{Potion:[reg:potioncore:recoil,name:effect.recoil,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                   |
| potioncore:repair                          | 107 | PotionEffect:{Potion:[reg:potioncore:repair,name:effect.repair,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                   |
| potioncore:resistance                      | 102 | PotionEffect:{Potion:[reg:minecraft:resistance,name:effect.resistance,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                            |
| potioncore:revival                         | 172 | PotionEffect:{Potion:[reg:potioncore:revival,name:effect.revival,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                 |
| potioncore:rust                            | 147 | PotionEffect:{Potion:[reg:potioncore:rust,name:effect.rust,isBad:true,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                       |
| potioncore:saturation                      |  72 | PotionEffect:{Potion:[reg:minecraft:saturation,name:effect.saturation,isBad:false,isBeneficial:true],amplifier:3,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                               |
| potioncore:slow_fall                       | 186 | PotionEffect:{Potion:[reg:potioncore:slow_fall,name:effect.slow_fall,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                             |
| potioncore:solid_core                      | 155 | PotionEffect:{Potion:[reg:potioncore:solid_core,name:effect.solid_core,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                           |
| potioncore:step_up                         | 136 | PotionEffect:{Potion:[reg:potioncore:step_up,name:effect.step_up,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                 |
| potioncore:strong_absorption               |  89 | PotionEffect:{Potion:[reg:minecraft:absorption,name:effect.absorption,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                            |
| potioncore:strong_archery                  | 196 | PotionEffect:{Potion:[reg:potioncore:archery,name:effect.archery,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                 |
| potioncore:strong_bless                    | 179 | PotionEffect:{Potion:[reg:potioncore:bless,name:effect.bless,isBad:false,isBeneficial:true],amplifier:1,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                        |
| potioncore:strong_blindness                |  81 | PotionEffect:{Potion:[reg:minecraft:blindness,name:effect.blindness,isBad:true,isBeneficial:false],amplifier:1,duration:450,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                               |
| potioncore:strong_broken_armor             | 181 | PotionEffect:{Potion:[reg:potioncore:broken_armor,name:effect.broken_armor,isBad:true,isBeneficial:false],amplifier:1,duration:450,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                        |
| potioncore:strong_burst                    | 194 | PotionEffect:{Potion:[reg:potioncore:burst,name:effect.burst,isBad:false,isBeneficial:true],amplifier:1,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                        |
| potioncore:strong_chance                   | 164 | PotionEffect:{Potion:[reg:potioncore:chance,name:effect.chance,isBad:false,isBeneficial:true],amplifier:1,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                      |
| potioncore:strong_curse                    | 192 | PotionEffect:{Potion:[reg:potioncore:curse,name:effect.curse,isBad:true,isBeneficial:false],amplifier:1,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                        |
| potioncore:strong_diamond_skin             | 127 | PotionEffect:{Potion:[reg:potioncore:diamond_skin,name:effect.diamond_skin,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                       |
| potioncore:strong_explode                  | 154 | PotionEffect:{Potion:[reg:potioncore:explode,name:effect.explode,isBad:true,isBeneficial:false],amplifier:1,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                    |
| potioncore:strong_extension                | 113 | PotionEffect:{Potion:[reg:potioncore:extension,name:effect.extension,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                             |
| potioncore:strong_fire                     | 158 | PotionEffect:{Potion:[reg:potioncore:fire,name:effect.fire,isBad:true,isBeneficial:false],amplifier:1,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                          |
| potioncore:strong_haste                    |  94 | PotionEffect:{Potion:[reg:minecraft:haste,name:effect.digSpeed,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                   |
| potioncore:strong_health_boost             | 100 | PotionEffect:{Potion:[reg:minecraft:health_boost,name:effect.healthBoost,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                         |
| potioncore:strong_hunger                   |  78 | PotionEffect:{Potion:[reg:minecraft:hunger,name:effect.hunger,isBad:true,isBeneficial:false],amplifier:1,duration:450,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                     |
| potioncore:strong_iron_skin                | 119 | PotionEffect:{Potion:[reg:potioncore:iron_skin,name:effect.iron_skin,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                             |
| potioncore:strong_klutz                    | 176 | PotionEffect:{Potion:[reg:potioncore:klutz,name:effect.klutz,isBad:true,isBeneficial:false],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                     |
| potioncore:strong_launch                   | 170 | PotionEffect:{Potion:[reg:potioncore:launch,name:effect.launch,isBad:true,isBeneficial:false],amplifier:1,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                      |
| potioncore:strong_levitation               |  86 | PotionEffect:{Potion:[reg:minecraft:levitation,name:effect.levitation,isBad:true,isBeneficial:false],amplifier:1,duration:300,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                             |
| potioncore:strong_magic_focus              | 133 | PotionEffect:{Potion:[reg:potioncore:magic_focus,name:effect.magic_focus,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                         |
| potioncore:strong_magic_inhibition         | 161 | PotionEffect:{Potion:[reg:potioncore:magic_inhibition,name:effect.magic_inhibition,isBad:true,isBeneficial:false],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                               |
| potioncore:strong_magic_shield             | 184 | PotionEffect:{Potion:[reg:potioncore:magic_shield,name:effect.magic_shield,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                       |
| potioncore:strong_mining_fatigue           |  97 | PotionEffect:{Potion:[reg:minecraft:mining_fatigue,name:effect.digSlowDown,isBad:true,isBeneficial:false],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                       |
| potioncore:strong_reach                    | 124 | PotionEffect:{Potion:[reg:potioncore:reach,name:effect.reach,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                     |
| potioncore:strong_recoil                   | 116 | PotionEffect:{Potion:[reg:potioncore:recoil,name:effect.recoil,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                   |
| potioncore:strong_repair                   | 108 | PotionEffect:{Potion:[reg:potioncore:repair,name:effect.repair,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                   |
| potioncore:strong_resistance               | 103 | PotionEffect:{Potion:[reg:minecraft:resistance,name:effect.resistance,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                            |
| potioncore:strong_revival                  | 173 | PotionEffect:{Potion:[reg:potioncore:revival,name:effect.revival,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                 |
| potioncore:strong_rust                     | 148 | PotionEffect:{Potion:[reg:potioncore:rust,name:effect.rust,isBad:true,isBeneficial:false],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                       |
| potioncore:strong_saturation               |  73 | PotionEffect:{Potion:[reg:minecraft:saturation,name:effect.saturation,isBad:false,isBeneficial:true],amplifier:7,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                               |
| potioncore:strong_slow_fall                | 187 | PotionEffect:{Potion:[reg:potioncore:slow_fall,name:effect.slow_fall,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                             |
| potioncore:strong_step_up                  | 137 | PotionEffect:{Potion:[reg:potioncore:step_up,name:effect.step_up,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                 |
| potioncore:strong_teleport                 | 130 | PotionEffect:{Potion:[reg:potioncore:teleport,name:effect.teleport,isBad:true,isBeneficial:false],amplifier:1,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                  |
| potioncore:strong_vulnerable               | 151 | PotionEffect:{Potion:[reg:potioncore:vulnerable,name:effect.vulnerable,isBad:true,isBeneficial:false],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                           |
| potioncore:strong_weight                   | 167 | PotionEffect:{Potion:[reg:potioncore:weight,name:effect.weight,isBad:true,isBeneficial:false],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                   |
| potioncore:strong_wither                   |  75 | PotionEffect:{Potion:[reg:minecraft:wither,name:effect.wither,isBad:true,isBeneficial:false],amplifier:1,duration:450,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                     |
| potioncore:teleport                        | 129 | PotionEffect:{Potion:[reg:potioncore:teleport,name:effect.teleport,isBad:true,isBeneficial:false],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                  |
| potioncore:teleport_spawn                  | 141 | PotionEffect:{Potion:[reg:potioncore:teleport_spawn,name:effect.teleport_spawn,isBad:false,isBeneficial:true],amplifier:0,duration:600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                    |
| potioncore:teleport_surface                | 131 | PotionEffect:{Potion:[reg:potioncore:teleport_surface,name:effect.teleport_surface,isBad:false,isBeneficial:true],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                  |
| potioncore:unluck                          | 105 | PotionEffect:{Potion:[reg:minecraft:unluck,name:effect.unluck,isBad:true,isBeneficial:false],amplifier:0,duration:6000,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                    |
| potioncore:vulnerable                      | 150 | PotionEffect:{Potion:[reg:potioncore:vulnerable,name:effect.vulnerable,isBad:true,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                           |
| potioncore:weight                          | 166 | PotionEffect:{Potion:[reg:potioncore:weight,name:effect.weight,isBad:true,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                   |
| potioncore:wither                          |  74 | PotionEffect:{Potion:[reg:minecraft:wither,name:effect.wither,isBad:true,isBeneficial:false],amplifier:0,duration:900,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                     |
| quark:danger_sight                         |  56 | PotionEffect:{Potion:[reg:quark:danger_sight,name:quark.potion.danger_sight.name,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                 |
| quark:haste                                |  47 | PotionEffect:{Potion:[reg:minecraft:haste,name:effect.digSpeed,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                   |
| quark:long_danger_sight                    |  57 | PotionEffect:{Potion:[reg:quark:danger_sight,name:quark.potion.danger_sight.name,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                 |
| quark:long_haste                           |  48 | PotionEffect:{Potion:[reg:minecraft:haste,name:effect.digSpeed,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                   |
| quark:long_mining_fatigue                  |  51 | PotionEffect:{Potion:[reg:minecraft:mining_fatigue,name:effect.digSlowDown,isBad:true,isBeneficial:false],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                       |
| quark:long_resilience                      |  45 | PotionEffect:{Potion:[reg:quark:resilience,name:quark.potion.resilience.name,isBad:false,isBeneficial:false],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                    |
| quark:long_resistance                      |  54 | PotionEffect:{Potion:[reg:minecraft:resistance,name:effect.resistance,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                            |
| quark:mining_fatigue                       |  50 | PotionEffect:{Potion:[reg:minecraft:mining_fatigue,name:effect.digSlowDown,isBad:true,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                       |
| quark:resilience                           |  44 | PotionEffect:{Potion:[reg:quark:resilience,name:quark.potion.resilience.name,isBad:false,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                    |
| quark:resistance                           |  53 | PotionEffect:{Potion:[reg:minecraft:resistance,name:effect.resistance,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                            |
| quark:strong_haste                         |  49 | PotionEffect:{Potion:[reg:minecraft:haste,name:effect.digSpeed,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                   |
| quark:strong_mining_fatigue                |  52 | PotionEffect:{Potion:[reg:minecraft:mining_fatigue,name:effect.digSlowDown,isBad:true,isBeneficial:false],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                       |
| quark:strong_resilience                    |  46 | PotionEffect:{Potion:[reg:quark:resilience,name:quark.potion.resilience.name,isBad:false,isBeneficial:false],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                    |
| quark:strong_resistance                    |  55 | PotionEffect:{Potion:[reg:minecraft:resistance,name:effect.resistance,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                            |
