+-------------------------------------------------+----------+---------------------------------------------+--------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------+
| Registry name                                   | Meta/dmg | Display name                                | Ore Dict Keys                                                                  | NBT                                                                                                                                         |
| chisel:block_coal_coke1                         |        3 | Block of Coal Coke                          | blockCoalCoke,blockFuelCoke                                                    |                                                                                                                                             |
| chisel:block_coal_coke1                         |        4 | Block of Coal Coke                          | blockCoalCoke,blockFuelCoke                                                    |                                                                                                                                             |
| chisel:block_coal_coke1                         |        5 | Block of Coal Coke                          | blockCoalCoke,blockFuelCoke                                                    |                                                                                                                                             |
| chisel:block_coal_coke1                         |        6 | Block of Coal Coke                          | blockCoalCoke,blockFuelCoke                                                    |                                                                                                                                             |
| chisel:block_coal_coke1                         |        7 | Block of Coal Coke                          | blockCoalCoke,blockFuelCoke                                                    |                                                                                                                                             |
| chisel:block_coal_coke1                         |        8 | Block of Coal Coke                          | blockCoalCoke,blockFuelCoke                                                    |                                                                                                                                             |
| chisel:block_coal_coke1                         |        9 | Block of Coal Coke                          | blockCoalCoke,blockFuelCoke                                                    |                                                                                                                                             |
| chisel:block_coal_coke1                         |       10 | Block of Coal Coke                          | blockCoalCoke,blockFuelCoke                                                    |                                                                                                                                             |
| chisel:block_coal_coke1                         |       11 | Block of Coal Coke                          | blockCoalCoke,blockFuelCoke                                                    |                                                                                                                                             |
| chisel:block_coal_coke1                         |       12 | Block of Coal Coke                          | blockCoalCoke,blockFuelCoke                                                    |                                                                                                                                             |
| chisel:block_coal_coke1                         |       13 | Block of Coal Coke                          | blockCoalCoke,blockFuelCoke                                                    |                                                                                                                                             |
| chisel:block_coal_coke1                         |       14 | Block of Coal Coke                          | blockCoalCoke,blockFuelCoke                                                    |                                                                                                                                             |
| chisel:block_coal_coke1                         |       15 | Block of Coal Coke                          | blockCoalCoke,blockFuelCoke                                                    |                                                                                                                                             |
| chisel:block_coal_coke2                         |        0 | Block of Coal Coke                          | blockCoalCoke,blockFuelCoke                                                    |                                                                                                                                             |
| chisel:block_coal_coke2                         |        1 | Block of Coal Coke                          | blockCoalCoke,blockFuelCoke                                                    |                                                                                                                                             |
| chisel:blockaluminum                            |        0 | Block of Aluminum                           | blockAluminum                                                                  |                                                                                                                                             |
| chisel:blockaluminum                            |        1 | Block of Aluminum                           | blockAluminum                                                                  |                                                                                                                                             |
| chisel:blockaluminum                            |        2 | Block of Aluminum                           | blockAluminum                                                                  |                                                                                                                                             |
| chisel:blockaluminum                            |        3 | Block of Aluminum                           | blockAluminum                                                                  |                                                                                                                                             |
| chisel:blockaluminum                            |        4 | Block of Aluminum                           | blockAluminum                                                                  |                                                                                                                                             |
| chisel:blockaluminum                            |        5 | Block of Aluminum                           | blockAluminum                                                                  |                                                                                                                                             |
| chisel:blockaluminum                            |        6 | Block of Aluminum                           | blockAluminum                                                                  |                                                                                                                                             |
| chisel:blockbronze                              |        0 | Block of Bronze                             | blockBronze                                                                    |                                                                                                                                             |
| chisel:blockbronze                              |        1 | Block of Bronze                             | blockBronze                                                                    |                                                                                                                                             |
| chisel:blockbronze                              |        2 | Block of Bronze                             | blockBronze                                                                    |                                                                                                                                             |
| chisel:blockbronze                              |        3 | Block of Bronze                             | blockBronze                                                                    |                                                                                                                                             |
| chisel:blockbronze                              |        4 | Block of Bronze                             | blockBronze                                                                    |                                                                                                                                             |
| chisel:blockbronze                              |        5 | Block of Bronze                             | blockBronze                                                                    |                                                                                                                                             |
| chisel:blockbronze                              |        6 | Block of Bronze                             | blockBronze                                                                    |                                                                                                                                             |
| chisel:blockcobalt                              |        0 | Block of Cobalt                             | blockCobalt                                                                    |                                                                                                                                             |
| chisel:blockcobalt                              |        1 | Block of Cobalt                             | blockCobalt                                                                    |                                                                                                                                             |
| chisel:blockcobalt                              |        2 | Block of Cobalt                             | blockCobalt                                                                    |                                                                                                                                             |
| chisel:blockcobalt                              |        3 | Block of Cobalt                             | blockCobalt                                                                    |                                                                                                                                             |
| chisel:blockcobalt                              |        4 | Block of Cobalt                             | blockCobalt                                                                    |                                                                                                                                             |
| chisel:blockcobalt                              |        5 | Block of Cobalt                             | blockCobalt                                                                    |                                                                                                                                             |
| chisel:blockcobalt                              |        6 | Block of Cobalt                             | blockCobalt                                                                    |                                                                                                                                             |
| chisel:blockcopper                              |        0 | Block of Copper                             | blockCopper                                                                    |                                                                                                                                             |
| chisel:blockcopper                              |        1 | Block of Copper                             | blockCopper                                                                    |                                                                                                                                             |
| chisel:blockcopper                              |        2 | Block of Copper                             | blockCopper                                                                    |                                                                                                                                             |
| chisel:blockcopper                              |        3 | Block of Copper                             | blockCopper                                                                    |                                                                                                                                             |
| chisel:blockcopper                              |        4 | Block of Copper                             | blockCopper                                                                    |                                                                                                                                             |
| chisel:blockcopper                              |        5 | Block of Copper                             | blockCopper                                                                    |                                                                                                                                             |
| chisel:blockcopper                              |        6 | Block of Copper                             | blockCopper                                                                    |                                                                                                                                             |
| chisel:blockelectrum                            |        0 | Block of Electrum                           | blockElectrum                                                                  |                                                                                                                                             |
| chisel:blockelectrum                            |        1 | Block of Electrum                           | blockElectrum                                                                  |                                                                                                                                             |
| chisel:blockelectrum                            |        2 | Block of Electrum                           | blockElectrum                                                                  |                                                                                                                                             |
| chisel:blockelectrum                            |        3 | Block of Electrum                           | blockElectrum                                                                  |                                                                                                                                             |
| chisel:blockelectrum                            |        4 | Block of Electrum                           | blockElectrum                                                                  |                                                                                                                                             |
| chisel:blockelectrum                            |        5 | Block of Electrum                           | blockElectrum                                                                  |                                                                                                                                             |
| chisel:blockelectrum                            |        6 | Block of Electrum                           | blockElectrum                                                                  |                                                                                                                                             |
| chisel:blockgold                                |        0 | Block of Gold                               | blockGold                                                                      |                                                                                                                                             |
| chisel:blockgold                                |        1 | Block of Gold                               | blockGold                                                                      |                                                                                                                                             |
| chisel:blockgold                                |        2 | Block of Gold                               | blockGold                                                                      |                                                                                                                                             |
| chisel:blockgold                                |        3 | Block of Gold                               | blockGold                                                                      |                                                                                                                                             |
| chisel:blockgold                                |        4 | Block of Gold                               | blockGold                                                                      |                                                                                                                                             |
| chisel:blockgold                                |        5 | Block of Gold                               | blockGold                                                                      |                                                                                                                                             |
| chisel:blockgold                                |        6 | Block of Gold                               | blockGold                                                                      |                                                                                                                                             |
| chisel:blockinvar                               |        0 | Block of Invar                              | blockInvar                                                                     |                                                                                                                                             |
| chisel:blockinvar                               |        1 | Block of Invar                              | blockInvar                                                                     |                                                                                                                                             |
| chisel:blockinvar                               |        2 | Block of Invar                              | blockInvar                                                                     |                                                                                                                                             |
| chisel:blockinvar                               |        3 | Block of Invar                              | blockInvar                                                                     |                                                                                                                                             |
| chisel:blockinvar                               |        4 | Block of Invar                              | blockInvar                                                                     |                                                                                                                                             |
| chisel:blockinvar                               |        5 | Block of Invar                              | blockInvar                                                                     |                                                                                                                                             |
| chisel:blockinvar                               |        6 | Block of Invar                              | blockInvar                                                                     |                                                                                                                                             |
| chisel:blockiron                                |        0 | Block of Iron                               | blockIron                                                                      |                                                                                                                                             |
| chisel:blockiron                                |        1 | Block of Iron                               | blockIron                                                                      |                                                                                                                                             |
| chisel:blockiron                                |        2 | Block of Iron                               | blockIron                                                                      |                                                                                                                                             |
| chisel:blockiron                                |        3 | Block of Iron                               | blockIron                                                                      |                                                                                                                                             |
| chisel:blockiron                                |        4 | Block of Iron                               | blockIron                                                                      |                                                                                                                                             |
| chisel:blockiron                                |        5 | Block of Iron                               | blockIron                                                                      |                                                                                                                                             |
| chisel:blockiron                                |        6 | Block of Iron                               | blockIron                                                                      |                                                                                                                                             |
| chisel:blocklead                                |        0 | Block of Lead                               | blockLead                                                                      |                                                                                                                                             |
| chisel:blocklead                                |        1 | Block of Lead                               | blockLead                                                                      |                                                                                                                                             |
| chisel:blocklead                                |        2 | Block of Lead                               | blockLead                                                                      |                                                                                                                                             |
| chisel:blocklead                                |        3 | Block of Lead                               | blockLead                                                                      |                                                                                                                                             |
| chisel:blocklead                                |        4 | Block of Lead                               | blockLead                                                                      |                                                                                                                                             |
| chisel:blocklead                                |        5 | Block of Lead                               | blockLead                                                                      |                                                                                                                                             |
| chisel:blocklead                                |        6 | Block of Lead                               | blockLead                                                                      |                                                                                                                                             |
| chisel:blocknickel                              |        0 | Block of Nickel                             | blockNickel                                                                    |                                                                                                                                             |
| chisel:blocknickel                              |        1 | Block of Nickel                             | blockNickel                                                                    |                                                                                                                                             |
| chisel:blocknickel                              |        2 | Block of Nickel                             | blockNickel                                                                    |                                                                                                                                             |
| chisel:blocknickel                              |        3 | Block of Nickel                             | blockNickel                                                                    |                                                                                                                                             |
| chisel:blocknickel                              |        4 | Block of Nickel                             | blockNickel                                                                    |                                                                                                                                             |
| chisel:blocknickel                              |        5 | Block of Nickel                             | blockNickel                                                                    |                                                                                                                                             |
| chisel:blocknickel                              |        6 | Block of Nickel                             | blockNickel                                                                    |                                                                                                                                             |
| chisel:blockplatinum                            |        0 | Block of Platinum                           | blockPlatinum                                                                  |                                                                                                                                             |
| chisel:blockplatinum                            |        1 | Block of Platinum                           | blockPlatinum                                                                  |                                                                                                                                             |
| chisel:blockplatinum                            |        2 | Block of Platinum                           | blockPlatinum                                                                  |                                                                                                                                             |
| chisel:blockplatinum                            |        3 | Block of Platinum                           | blockPlatinum                                                                  |                                                                                                                                             |
| chisel:blockplatinum                            |        4 | Block of Platinum                           | blockPlatinum                                                                  |                                                                                                                                             |
| chisel:blockplatinum                            |        5 | Block of Platinum                           | blockPlatinum                                                                  |                                                                                                                                             |
| chisel:blockplatinum                            |        6 | Block of Platinum                           | blockPlatinum                                                                  |                                                                                                                                             |
| chisel:blocksilver                              |        0 | Block of Silver                             | blockSilver                                                                    |                                                                                                                                             |
| chisel:blocksilver                              |        1 | Block of Silver                             | blockSilver                                                                    |                                                                                                                                             |
| chisel:blocksilver                              |        2 | Block of Silver                             | blockSilver                                                                    |                                                                                                                                             |
| chisel:blocksilver                              |        3 | Block of Silver                             | blockSilver                                                                    |                                                                                                                                             |
| chisel:blocksilver                              |        4 | Block of Silver                             | blockSilver                                                                    |                                                                                                                                             |
| chisel:blocksilver                              |        5 | Block of Silver                             | blockSilver                                                                    |                                                                                                                                             |
| chisel:blocksilver                              |        6 | Block of Silver                             | blockSilver                                                                    |                                                                                                                                             |
| chisel:blocksteel                               |        0 | Block of Steel                              | blockSteel                                                                     |                                                                                                                                             |
| chisel:blocksteel                               |        1 | Block of Steel                              | blockSteel                                                                     |                                                                                                                                             |
| chisel:blocksteel                               |        2 | Block of Steel                              | blockSteel                                                                     |                                                                                                                                             |
| chisel:blocksteel                               |        3 | Block of Steel                              | blockSteel                                                                     |                                                                                                                                             |
| chisel:blocksteel                               |        4 | Block of Steel                              | blockSteel                                                                     |                                                                                                                                             |
| chisel:blocksteel                               |        5 | Block of Steel                              | blockSteel                                                                     |                                                                                                                                             |
| chisel:blocksteel                               |        6 | Block of Steel                              | blockSteel                                                                     |                                                                                                                                             |
| chisel:blocktin                                 |        0 | Block of Tin                                | blockTin                                                                       |                                                                                                                                             |
| chisel:blocktin                                 |        1 | Block of Tin                                | blockTin                                                                       |                                                                                                                                             |
| chisel:blocktin                                 |        2 | Block of Tin                                | blockTin                                                                       |                                                                                                                                             |
| chisel:blocktin                                 |        3 | Block of Tin                                | blockTin                                                                       |                                                                                                                                             |
| chisel:blocktin                                 |        4 | Block of Tin                                | blockTin                                                                       |                                                                                                                                             |
| chisel:blocktin                                 |        5 | Block of Tin                                | blockTin                                                                       |                                                                                                                                             |
| chisel:blocktin                                 |        6 | Block of Tin                                | blockTin                                                                       |                                                                                                                                             |
| chisel:blockuranium                             |        0 | Block of Uranium                            | blockUranium                                                                   |                                                                                                                                             |
| chisel:blockuranium                             |        1 | Block of Uranium                            | blockUranium                                                                   |                                                                                                                                             |
| chisel:blockuranium                             |        2 | Block of Uranium                            | blockUranium                                                                   |                                                                                                                                             |
| chisel:blockuranium                             |        3 | Block of Uranium                            | blockUranium                                                                   |                                                                                                                                             |
| chisel:blockuranium                             |        4 | Block of Uranium                            | blockUranium                                                                   |                                                                                                                                             |
| chisel:blockuranium                             |        5 | Block of Uranium                            | blockUranium                                                                   |                                                                                                                                             |
| chisel:blockuranium                             |        6 | Block of Uranium                            | blockUranium                                                                   |                                                                                                                                             |
| chisel:bookshelf_acacia                         |        0 | Acacia Bookshelf                            | bookshelf,bookshelfAcacia                                                      |                                                                                                                                             |
| chisel:bookshelf_acacia                         |        1 | Acacia Bookshelf                            | bookshelf,bookshelfAcacia                                                      |                                                                                                                                             |
| chisel:bookshelf_acacia                         |        2 | Acacia Bookshelf                            | bookshelf,bookshelfAcacia                                                      |                                                                                                                                             |
| chisel:bookshelf_acacia                         |        3 | Acacia Bookshelf                            | bookshelf,bookshelfAcacia                                                      |                                                                                                                                             |
| chisel:bookshelf_acacia                         |        4 | Acacia Bookshelf                            | bookshelf,bookshelfAcacia                                                      |                                                                                                                                             |
| chisel:bookshelf_acacia                         |        5 | Acacia Bookshelf                            | bookshelf,bookshelfAcacia                                                      |                                                                                                                                             |
| chisel:bookshelf_acacia                         |        6 | Acacia Bookshelf                            | bookshelf,bookshelfAcacia                                                      |                                                                                                                                             |
| chisel:bookshelf_acacia                         |        7 | Acacia Bookshelf                            | bookshelf,bookshelfAcacia                                                      |                                                                                                                                             |
| chisel:bookshelf_acacia                         |        8 | Acacia Bookshelf                            | bookshelf,bookshelfAcacia                                                      |                                                                                                                                             |
| chisel:bookshelf_acacia                         |        9 | Acacia Bookshelf                            | bookshelf,bookshelfAcacia                                                      |                                                                                                                                             |
| chisel:bookshelf_birch                          |        0 | Birch Bookshelf                             | bookshelf,bookshelfBirch                                                       |                                                                                                                                             |
| chisel:bookshelf_birch                          |        1 | Birch Bookshelf                             | bookshelf,bookshelfBirch                                                       |                                                                                                                                             |
| chisel:bookshelf_birch                          |        2 | Birch Bookshelf                             | bookshelf,bookshelfBirch                                                       |                                                                                                                                             |
| chisel:bookshelf_birch                          |        3 | Birch Bookshelf                             | bookshelf,bookshelfBirch                                                       |                                                                                                                                             |
| chisel:bookshelf_birch                          |        4 | Birch Bookshelf                             | bookshelf,bookshelfBirch                                                       |                                                                                                                                             |
| chisel:bookshelf_birch                          |        5 | Birch Bookshelf                             | bookshelf,bookshelfBirch                                                       |                                                                                                                                             |
